Index,X,Y,Z,Target_X,Target_Y,Target_Z
0,-0.31436,-0.0248534,0.59964,-0.3044,-0.0149,0.6996
1,-0.31436,-0.0248534,0.59964,-0.3044,-0.0149,0.6996
2,-0.314359,-0.0248526,0.599647,-0.3044,-0.0149,0.6996
3,-0.314357,-0.0248504,0.59967,-0.3044,-0.0149,0.6996
4,-0.314353,-0.0248466,0.599708,-0.3044,-0.0149,0.6996
5,-0.314348,-0.0248413,0.59976,-0.3044,-0.0149,0.6996
6,-0.314341,-0.0248346,0.599828,-0.3044,-0.0149,0.6996
7,-0.314333,-0.0248263,0.599911,-0.3044,-0.0149,0.6996
8,-0.314323,-0.0248166,0.600009,-0.3044,-0.0149,0.6996
9,-0.314312,-0.0248053,0.600122,-0.3044,-0.0149,0.6996
10,-0.314299,-0.0247926,0.60025,-0.3044,-0.0149,0.6996
11,-0.314285,-0.0247783,0.600393,-0.3044,-0.0149,0.6996
12,-0.314269,-0.0247628,0.600549,-0.3044,-0.0149,0.6996
13,-0.314252,-0.0247461,0.600716,-0.3044,-0.0149,0.6996
14,-0.314235,-0.0247284,0.600895,-0.3044,-0.0149,0.6996
15,-0.314216,-0.0247096,0.601084,-0.3044,-0.0149,0.6996
16,-0.314196,-0.0246896,0.601284,-0.3044,-0.0149,0.6996
17,-0.314174,-0.0246686,0.601496,-0.3044,-0.0149,0.6996
18,-0.314152,-0.0246464,0.601718,-0.3044,-0.0149,0.6996
19,-0.314129,-0.0246232,0.601951,-0.3044,-0.0149,0.6996
20,-0.314104,-0.0245989,0.602196,-0.3044,-0.0149,0.6996
21,-0.314079,-0.0245734,0.602451,-0.3044,-0.0149,0.6996
22,-0.314052,-0.0245471,0.602716,-0.3044,-0.0149,0.6996
23,-0.314025,-0.0245199,0.602988,-0.3044,-0.0149,0.6996
24,-0.313997,-0.0244921,0.603268,-0.3044,-0.0149,0.6996
25,-0.313968,-0.0244634,0.603556,-0.3044,-0.0149,0.6996
26,-0.313938,-0.024434,0.603851,-0.3044,-0.0149,0.6996
